2026-06-03T23:39:02.676403152 | RX | Packet received from EOIR
2026-06-03T23:39:02.679217969 | RX | Packet received from Middleware
2026-06-03T23:39:02.680564507 | TX | ACK sent
2026-06-03T23:39:02.681282736 | RX | ACK received from Internal System
2026-06-03T23:39:02.681474089 | TX | ACK forwarded to EOIR
2026-06-03T23:39:03.765392766 | RX | TREX packet received from EOIR
2026-06-03T23:39:03.765911898 | RX | Packet received from EOIR
2026-06-03T23:39:03.766218639 | RX | Packet received from Middleware
2026-06-03T23:39:03.766427604 | TX | ACK sent
2026-06-03T23:39:03.766710780 | RX | ACK received from Internal System
2026-06-03T23:39:03.766873839 | TX | ACK forwarded to EOIR
2026-06-03T23:39:04.650049927 | RX | TREX packet received from EOIR
2026-06-03T23:39:04.650604767 | RX | Packet received from EOIR
2026-06-03T23:39:04.650913832 | RX | Packet received from Middleware
2026-06-03T23:39:04.651088783 | TX | ACK sent
2026-06-03T23:39:04.651285084 | RX | ACK received from Internal System
2026-06-03T23:39:04.651442161 | TX | ACK forwarded to EOIR
2026-06-03T23:39:05.552183611 | RX | TREX packet received from EOIR
2026-06-03T23:39:05.552687725 | RX | Packet received from EOIR
2026-06-03T23:39:05.553299493 | RX | Packet received from Middleware
2026-06-03T23:39:05.553533545 | TX | ACK sent
2026-06-03T23:39:05.553886894 | RX | ACK received from Internal System
2026-06-03T23:39:05.554090179 | TX | ACK forwarded to EOIR
